iter	Passed	Remaining
0	3	3436
1	6	3452
2	10	3461
3	13	3465
4	17	3448
5	20	3429
6	24	3438
7	27	3398
8	30	3362
9	33	3331
10	35	3228
11	39	3235
12	43	3265
13	46	3251
14	49	3241
15	52	3225
16	55	3230
17	59	3256
18	63	3272
19	66	3268
20	69	3261
21	73	3280
22	77	3285
23	80	3285
24	84	3285
25	87	3286
26	91	3286
27	94	3283
28	97	3276
29	101	3270
30	104	3268
31	107	3264
32	111	3260
33	114	3253
34	117	3246
35	121	3245
36	124	3246
37	128	3243
38	131	3234
39	134	3226
40	138	3242
41	141	3236
42	145	3229
43	148	3224
44	151	3217
45	155	3216
46	158	3209
47	161	3203
48	164	3198
49	168	3192
50	171	3194
51	174	3189
52	178	3183
53	181	3175
54	184	3168
55	188	3169
56	192	3184
57	196	3191
58	199	3187
59	203	3192
60	207	3197
61	211	3197
62	214	3194
63	218	3189
64	221	3189
65	225	3184
66	228	3179
67	231	3173
68	235	3182
69	238	3171
70	241	3165
71	245	3160
72	248	3154
73	252	3155
74	255	3150
75	258	3145
76	261	3139
77	265	3134
78	268	3133
79	272	3129
80	275	3124
81	278	3119
82	281	3114
83	285	3113
84	288	3109
85	292	3104
86	295	3100
87	298	3095
88	302	3091
89	305	3086
90	308	3083
91	311	3078
92	315	3075
93	318	3073
94	322	3070
95	325	3067
96	329	3065
97	333	3071
98	337	3068
99	340	3064
100	343	3059
101	347	3056
102	350	3056
103	354	3052
104	357	3047
105	360	3043
106	364	3039
107	367	3038
108	371	3034
109	374	3029
110	377	3024
111	381	3022
112	384	3021
113	388	3020
114	392	3018
115	395	3016
116	400	3022
117	403	3017
118	406	3012
119	410	3007
120	413	3004
121	417	3002
122	420	2999
123	424	2996
124	427	2990
125	431	2989
126	433	2982
127	437	2978
128	440	2973
129	443	2965
130	447	2965
131	449	2957
132	453	2953
133	455	2944
134	458	2940
135	461	2933
136	464	2927
137	467	2921
138	470	2917
139	474	2912
140	476	2905
141	481	2906
142	483	2899
